Style,Records,Timestamp,Total
108084,27,2025-04-02 11:23:29,27
108089,27,2025-04-02 11:24:04,54
108090,9,2025-04-02 11:24:16,63
108105,9,2025-04-02 11:24:26,72
108087,45,2025-04-02 11:25:07,117
108085,36,2025-04-02 11:25:45,153
108091,18,2025-04-02 11:26:14,171
108087C,9,2025-04-02 11:26:30,180
102699,126,2025-04-02 11:28:10,306
054X,648,2025-04-02 11:36:43,954
110172,9,2025-04-02 11:36:58,963
12000,522,2025-04-02 11:47:44,1485
117023,9,2025-04-02 11:48:00,1494
